SMILES,Idx,FID
[16*]c1ccc(S(=O)(=O)c2ccc([16*])cn2)nc1,12,378
[16*]c1cccc2c1C(=O)c1ccccc1S2(=O)=O,0,396
[7*]=Cc1cc(Br)sc1C=[7*],0,278
[7*]=Cc1cc(Br)sc1C=[7*],9,426
[16*]c1cccc(C)c1,0,36
[16*]c1cc2c3ccccc3c([16*])cc2c2ccccc12,0,135
[16*]c1cc2c3ccccc3c([16*])cc2c2ccccc12,11,135
[14*]c1cc([14*])ncn1,0,11
[14*]c1cc([14*])ncn1,4,11
[14*]c1ncc([16*])c2nsnc12,0,273
[14*]c1ncc([16*])c2nsnc12,5,401
[16*]c1ccc(C2(c3ccccc3)c3ccccc3-c3ccccc32)c([16*])c1,0,78
[16*]c1ccc(C2(c3ccccc3)c3ccccc3-c3ccccc32)c([16*])c1,25,245
[5*]N[5*],0,1
[5*]N[5*],2,1
[8*]C(C)C,0,34
[16*]c1cc([16*])c([16*])c([16*])c1,0,0
[16*]c1cc([16*])c([16*])c([16*])c1,4,0
[16*]c1cc([16*])c([16*])c([16*])c1,6,0
[16*]c1cc([16*])c([16*])c([16*])c1,8,0
[9*]n1c2ccccc2n2c3ccccc3nc12,0,498
[14*]c1cccc([14*])n1,0,14
[14*]c1cccc([14*])n1,6,14
[16*]c1cc([16*])c(C)c([16*])c1,0,17
[16*]c1cc([16*])c(C)c([16*])c1,4,29
[16*]c1cc([16*])c(C)c([16*])c1,8,29
[16*]c1ccc(C2(c3c(F)c(F)nc(F)c3F)c3ccccc3-c3ccccc32)cc1,0,460
[16*]c1ccc(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c([16*])c1,0,88
[16*]c1ccc(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c([16*])c1,25,164
[16*]c1ccc2c(c1)P(=O)(c1ccccc1)c1cc([16*])ccc1-2,0,176
[16*]c1ccc2c(c1)P(=O)(c1ccccc1)c1cc([16*])ccc1-2,18,176
[16*]c1cc([16*])c(O)c([16*])c1,0,153
[16*]c1cc([16*])c(O)c([16*])c1,4,87
[16*]c1cc([16*])c(O)c([16*])c1,8,87
[9*]n1nc2ccc([16*])cc2n1,0,183
[9*]n1nc2ccc([16*])cc2n1,7,174
[16*]c1ccc2c(c1)C(C)(C)c1cc([16*])ccc1-2,0,56
[16*]c1ccc2c(c1)C(C)(C)c1cc([16*])ccc1-2,13,56
[9*]n1c([14*])nc([14*])c1[14*],0,364
[9*]n1c([14*])nc([14*])c1[14*],3,356
[9*]n1c([14*])nc([14*])c1[14*],6,331
[9*]n1c([14*])nc([14*])c1[14*],8,329
[9*]n1c2ccccc2c2ccc3c(c21)-c1ccccc1C31c2ccccc2-c2ccccc21,0,453
